Date,Company,Sentiment Score
19/07/2023,ADANIPOWER,0.648
21/08/2023,ADANIPOWER,0.8243
30/08/2023,ADANIPOWER,0.648
04/10/2023,ADANIPOWER,0.7202
02/11/2023,ADANIPOWER,0.5
01/12/2023,ADANIPOWER,0.5
02/01/2024,ADANIPOWER,0.7294
25/01/2024,ADANIPOWER,0.7202
26/02/2024,ADANIPOWER,0.648
27/03/2024,ADANIPOWER,0.70095
16/05/2024,ADANIPOWER,0.648
03/06/2024,ADANIPOWER,0.81245
21/06/2024,ADANIPOWER,0.6366
05/08/2024,ADANIPOWER,0.6366
17/09/2024,ADANIPOWER,0.5
17/09/2024,ADANIPOWER,0.5
12/11/2024,ADANIPOWER,0.7997
21/11/2024,ADANIPOWER,0.6366
15/01/2025,ADANIPOWER,0.73835
15/01/2025,ADANIPOWER,0.73835
27/02/2025,ADANIPOWER,0.70095
17/03/2025,ADANIPOWER,0.648
31/01/2022,ATGL,0.5
31/01/2022,ATGL,0.5
27/03/2022,ATGL,0.5
22/04/2022,ATGL,0.5
04/05/2022,ATGL,0.5
20/06/2022,ATGL,0.21405
17/07/2022,ATGL,0.69855
04/08/2022,ATGL,0.3634
01/09/2022,ATGL,0.5
03/10/2022,ATGL,0.352
14/11/2022,ATGL,0.5
27/12/2022,ATGL,0.76335
20/01/2023,ATGL,0.5
17/02/2023,ATGL,0.76165
13/03/2023,ATGL,0.5
10/04/2023,ATGL,0.5386
16/05/2023,ATGL,0.53585
31/05/2023,ATGL,0.6783
29/06/2023,ATGL,0.5
22/08/2023,ATGL,0.7202
01/09/2023,ATGL,0.5
23/10/2023,ATGL,0.5
24/10/2023,ATGL,0.3113
07/12/2023,ATGL,0.6783
03/01/2024,ATGL,0.76335
06/02/2024,ATGL,0.5
18/03/2024,ATGL,0.58445
10/04/2024,ATGL,0.5
02/05/2024,ATGL,0.83525
04/06/2024,ATGL,0.5
26/06/2024,ATGL,0.76045
12/08/2024,ATGL,0.5
13/09/2024,ATGL,0.648
23/09/2024,ATGL,0.86255
24/10/2024,ATGL,0.81245
28/11/2024,ATGL,0.6783
10/01/2025,ATGL,0.6783
16/01/2025,ATGL,0.6783
19/02/2025,ATGL,0.2156
17/03/2025,ATGL,0.5
27/01/2022,ABCAPITAL,0.7553
09/02/2022,ABCAPITAL,0.5
09/03/2022,ABCAPITAL,0.5
